#Heizstrom [A]	Anodenstrom [mA]	Anodenspannung [V]
1.8	0	-1.3
1.8	0.19	1.232
1.8	0.42	3.015
1.8	0.57	4
1.8	0.85	5.93
1.8	0.92	7.02
1.8	0.94	10
1.8	0.97	12.02
1.8	0.98	14
1.8	0.99	30.03
1.8	1.01	50
1.8	1.05	100
1.8	1.07	125
1.8	1.08	150
1.8	2.97	20.05
1.85	1.07	125
1.89	0	-1.717
1.9	0.05	-0.502
1.9	0.43	2.8
1.9	0.64	4.06
1.9	0.86	5.3
1.9	1	6
1.9	1.55	8.6
1.9	2.08	20.03
1.9	2.10	40.1
1.9	2.13	30.05
1.9	2.13	50
1.9	2.16	70
1.9	2.21	100
1.9	2.23	125
1.9	2.23	125
1.9	2.27	150
1.91	0.2	1.085
1.91	1.84	10
1.91	2.06	12
1.91	2.1	14
1.95	3.11	125
1.99	0	-1.741
2	0	-1.785
2	0.03	-1.085
2	0.05	-0.602
2	0.06	-0.6
2	0.21	1
2	0.44	2.627
2	0.5	3.004
2	0.86	5
2	0.99	5.66
2	1.51	7.99
2	2	10
2	2.52	12
2	3.06	14
2	3.58	16.02
2	3.85	18
2	3.95	20
2	4.03	22
2	4.11	30
2	4.2	40
2	4.26	50
2	4.27	60
2	4.32	80
2	4.35	125
2	4.35	70
2	4.37	90
2	4.45	110
2	4.50	130
2	4.55	150
2.05	5.95	125
2.1	0.22	0.865
2.1	7.92	125
